as_of_date,document_id,source,publication_timestamp,timestamp_valid,citation_complete,predicted_relevant,review_relevant,relevance_match,predicted_classification,review_classification,classification_match,predicted_mechanism,review_mechanism,mechanism_match,predicted_specificity,review_specificity,specificity_match,confidence,classification_rationale,reference_label_provenance,review_note
2009-03-06,fed-2009-03-03-talf,Federal Reserve Board,2009-03-03T09:15:00-05:00,True,True,True,True,True,supporting,supporting,True,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.94,Severe credit-market impairment and extraordinary liquidity support align with the elevated panic and liquidity-risk state.,developer_review_not_independent_ground_truth,"Direct evidence of extraordinary credit-market impairment and policy response, but no explicit momentum reference."
2009-03-06,fed-2009-03-02-aig,Federal Reserve Board,2009-03-02T06:00:00-05:00,True,True,True,True,True,supporting,supporting,True,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.91,Systemic capital and liquidity intervention amid market turbulence supports the policy and liquidity-stress mechanism.,developer_review_not_independent_ground_truth,Systemic liquidity stress supports the broad panic-state mechanism.
2009-03-06,bls-2009-03-06-employment,US Bureau of Labor Statistics,2009-03-06T08:30:00-05:00,True,True,True,True,True,contextual,contextual,True,generic risk-off or risk-on,generic risk-off or risk-on,True,generic_context,generic_context,True,0.93,Widespread job losses reinforce the broad risk-off backdrop but do not identify a momentum mechanism.,developer_review_not_independent_ground_truth,"Severe labor deterioration is broad risk-off context, not momentum-specific evidence."
2009-03-06,fed-2009-03-03-bernanke,Federal Reserve Board,2009-03-04T00:00:00-05:00,True,True,True,True,True,supporting,supporting,True,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.93,"Persistent financial stress, impaired securitization, and alternative credit tools support the liquidity-stress mechanism.",developer_review_not_independent_ground_truth,Persistent financial stress and impaired securitization support the liquidity mechanism.
2009-03-06,fed-2009-02-25-stress-tests,Federal Reserve Board,2009-02-26T00:00:00-05:00,True,True,False,True,False,irrelevant,contextual,False,other,generic risk-off or risk-on,False,not_applicable,generic_context,False,0.84,The passage describes supervisory methodology without enough evidence to connect it to momentum reversal risk.,developer_review_not_independent_ground_truth,"A reviewer considered adverse-scenario capital assessment relevant background, although the mechanism link is weak."
2009-03-06,fed-2009-03-05-kohn-aig,Federal Reserve Board,2009-03-06T00:00:00-05:00,True,True,True,True,True,supporting,supporting,True,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.92,"Warnings of market disruption, asset-price declines, and constrained credit align with the elevated stress state.",developer_review_not_independent_ground_truth,"Market disruption, asset-price declines, and constrained credit support the stress mechanism."
2009-03-06,fed-2009-03-05-h3,Federal Reserve Board,2009-03-05T16:30:00-05:00,True,True,True,True,True,contextual,contextual,True,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.88,Borrowing and term-auction usage document the liquidity environment but provide no clear directional momentum evidence.,developer_review_not_independent_ground_truth,Facility usage documents liquidity conditions but has no clear directional momentum content.
2009-03-06,fed-2009-03-05-h41,Federal Reserve Board,2009-03-05T16:30:00-05:00,True,True,True,True,True,contextual,supporting,False,policy or liquidity shock,policy or liquidity shock,True,mechanism_proxy,mechanism_proxy,True,0.86,The scale of reserve credit and liquidity facilities is relevant to the policy mechanism but is directionally descriptive.,developer_review_not_independent_ground_truth,A reviewer treated the scale of liquidity facilities as supporting stress rather than merely contextual.
2024-01-05,reuters-2024-01-05-wall-street,Reuters via MarketScreener,2024-01-05T09:08:00-05:00,True,True,True,True,True,contradicting,contextual,False,factor rotation,factor rotation,True,mechanism_proxy,mechanism_proxy,True,0.88,Technology weakness and defensive-sector interest indicate rotation that challenges the otherwise low deterministic risk state.,developer_review_not_independent_ground_truth,"Technology-to-defensive rotation is mechanism-relevant, but a reviewer judged the direction too indirect to contradict the low-risk signal."
2024-01-05,bls-2024-01-05-employment,US Bureau of Labor Statistics,2024-01-05T08:30:00-05:00,True,True,True,True,True,supporting,supporting,True,generic risk-off or risk-on,generic risk-off or risk-on,True,generic_context,generic_context,True,0.84,Continued job growth and stable unemployment support a benign broad-market backdrop consistent with low risk.,developer_review_not_independent_ground_truth,"Continued job growth supports benign broad-market context, not a momentum-specific conclusion."
