as_of_date,metric,value,threshold,threshold_provenance,state,triggered,explanation,source_module
2020-03-24,market_drawdown,-0.2806550320230552,-0.2,demo_threshold,severe_drawdown,True,Broad-market total-return wealth relative to its prior all-history peak; -20% is an explicit MVP threshold.,src.regime.market_state
2020-03-24,recovery_from_trough,0.09349999999999947,0.05,demo_threshold,recovery_threshold_met,True,Gain from the lowest broad-market wealth in the prior 126 trading days; current trough age is 1 day.,src.regime.market_state
2020-03-24,realized_volatility,0.9125616034000121,0.17829225219948414,pit_historical_80pct_quantile,high_volatility,True,Annualized 21-day broad-market realized volatility compared with the 80th percentile of prior observations only.,src.regime.market_state
2020-03-24,dm_bear_state,-0.05011363128511087,0.0,daniel_moskowitz_structure,bear,True,The trailing 504-trading-day broad-market return is negative.,src.risk.dm_engine
2020-03-24,dm_panic_state,2.2546477127288136,1.0,documented_operationalization,panic_elevated,True,DM bear state with 126-day variance at least its expanding point-in-time mean among bear-state observations.,src.risk.dm_engine
2020-03-24,crash_state,1.0,1.0,composite_demo_rule,crash,True,Triggered when current drawdown is at most -20% and realized volatility is above its PIT historical threshold.,src.regime.market_state
2020-03-24,early_recovery_state,1.0,1.0,composite_demo_rule,early_recovery,True,"Requires a -20% recent drawdown, at least a 5% recovery from the 126-day trough, and a trough age of 1 to 63 trading days.",src.regime.market_state
2020-03-24,high_volatility_recovery_state,1.0,1.0,composite_demo_rule,high_volatility_recovery,True,Triggered only when early recovery and high realized volatility are both present.,src.regime.market_state
2020-03-24,rate_policy_proxy,0.0,0.0025,demo_threshold,stable,False,Change over 63 trading days in the annualized 21-day Ken French risk-free return; +/-25 bp maps to tightening/easing.,src.regime.market_state
2020-03-24,liquidity_proxy,,,unavailable,unavailable,,"No reliable, already-available macro liquidity series exists in the repository; the MVP does not manufacture a proxy.",src.regime.market_state
